model,input_px,R1,R5,R10,train_simg,test_simg,test_ips,train_ips,test_ms,train_ms,R1_rel_vs_resnet50_%,R5_rel_vs_resnet50_%,R10_rel_vs_resnet50_%,speed_overhead_vs_resnet50_%,eff_R1_per_s,eff_R5_per_s,eff_R10_per_s,pareto_R1_vs_speed
resnet50,224,0.159,0.383,0.506,0.0263,0.0256,39.0625,38.02281368821293,25.6,26.3,0.0,0.0,0.0,0.0,6.2109375,14.9609375,19.765625,True
convnext_b,224,0.197,0.437,0.548,0.0275,0.0277,36.101083032490976,36.36363636363637,27.7,27.5,23.899371069182394,14.099216710182766,8.300395256917003,8.203125,7.111913357400723,15.776173285198556,19.783393501805058,True
dinov2_b,224,0.207,0.496,0.646,0.0323,0.0342,29.239766081871345,30.959752321981423,34.2,32.300000000000004,30.188679245283012,29.50391644908616,27.667984189723324,33.59375,6.052631578947368,14.502923976608187,18.88888888888889,True
siglip_b16,224,0.165,0.409,0.547,0.0301,0.0312,32.05128205128205,33.222591362126245,31.2,30.099999999999998,3.7735849056603805,6.788511749347251,8.102766798418978,21.87499999999998,5.288461538461538,13.108974358974358,17.532051282051285,False
clip_l14,224,0.126,0.338,0.463,0.0331,0.0333,30.030030030030026,30.211480362537767,33.300000000000004,33.099999999999994,-20.754716981132077,-11.749347258485635,-8.498023715415016,30.078125,3.7837837837837833,10.15015015015015,13.903903903903903,False
clip_b32,224,0.147,0.352,0.458,0.0308,0.0325,30.769230769230766,32.467532467532465,32.5,30.8,-7.547169811320761,-8.093994778067891,-9.486166007905137,26.953125,4.523076923076922,10.83076923076923,14.092307692307692,False
